symbol,name,date,institution,rating,title,source
SSE:601138,工业富联,2026-04-30,信达证券,买入,工业富联26Q1业绩点评：业绩实现翻倍增长，CPO交换机开始出货,eastmoney_research_report
SSE:601138,工业富联,2026-04-29,国金证券,买入,产品结构升级释放利润弹性，现金流激增验证景气度,eastmoney_research_report
SSE:601138,工业富联,2026-03-20,山西证券,买入,AI服务器与高速交换机增长强劲，公司业绩加速释放,eastmoney_research_report
SSE:601138,工业富联,2026-03-12,信达证券,买入,工业富联2025年年报点评：云计算业务快速增长，AI算力驱动新周期,eastmoney_research_report
SSE:601138,工业富联,2026-03-11,国金证券,买入,云计算业务量价齐升，高速交换机成为新增长引擎,eastmoney_research_report
SZSE:001389,广合科技,2026-04-27,中邮证券,买入,产品结构升级，算力PCB进入高速成长期,eastmoney_research_report
SZSE:001389,广合科技,2025-09-25,华鑫证券,买入,公司事件点评报告：深耕服务器用PCB，有望受益于下游AI算力高景气度,eastmoney_research_report
SZSE:001389,广合科技,2025-08-25,东莞证券,买入,2025半年报点评：上半年业绩快速增长，各工厂持续向好,eastmoney_research_report
SZSE:001389,广合科技,2025-06-25,中邮证券,买入,数字化推动提产增效，经营业绩稳步提升,eastmoney_research_report
SZSE:002290,禾盛新材,2026-05-29,太平洋,买入,禾盛新材：拟定增募资用于国产智能算力中心建设，AI算力布局再加码,eastmoney_research_report
SZSE:002290,禾盛新材,2026-04-30,太平洋,买入,禾盛新材：2026Q1收入业绩短期承压，增资熠知电子加码AI算力赛道,eastmoney_research_report
SZSE:002290,禾盛新材,2026-04-03,东吴证券,买入,禾盛新材：算力业务开启第二成长曲线,eastmoney_research_report
SZSE:002290,禾盛新材,2026-03-02,国金证券,买入,家电材料基石稳固，AI算力开启第二增长曲线,eastmoney_research_report
SZSE:002290,禾盛新材,2025-08-05,民生证券,买入,动态点评：投资熠知电子，实现AI上下游一体化,eastmoney_research_report
SZSE:002463,沪电股份,2026-04-24,中邮证券,买入,高速交换机业务高增，产能扩张蓄力长期成长,eastmoney_research_report
SZSE:002463,沪电股份,2026-04-15,中银证券,买入,乘AI与高速运算东风，业绩增长动能强劲,eastmoney_research_report
SZSE:002463,沪电股份,2026-04-15,信达证券,买入,沪电股份26Q1业绩预告点评：AI算力景气度持续验证，高端产能释放在即,eastmoney_research_report
SZSE:002463,沪电股份,2026-04-02,东莞证券,买入,2025年报点评：AI驱动业绩增长，盈利能力提升,eastmoney_research_report
SZSE:002463,沪电股份,2026-03-31,华金证券,增持,核心业务景气延续，业绩与盈利能力同步提升,eastmoney_research_report
SZSE:300308,中际旭创,2026-05-27,山西证券,买入,龙头交付优势充分体现，Scaleup光连接产品有望继续保持领先,eastmoney_research_report
SZSE:300308,中际旭创,2026-05-08,西南证券,增持,2026年一季报点评：800G放量驱动业绩兑现，1.6T开启新一轮成长接力,eastmoney_research_report
SZSE:300308,中际旭创,2026-04-23,华龙证券,买入,2026年一季报点评报告：全球算力投资持续增长，公司业绩持续高增,eastmoney_research_report
SZSE:300308,中际旭创,2026-04-19,开源证券,买入,公司信息更新报告：业绩兑现高增验证产业景气，AI算力基建驱动长期价值跃迁,eastmoney_research_report
SZSE:300308,中际旭创,2026-04-17,国金证券,买入,高速光模块放量增收增利，NPO等新技术核心卡位,eastmoney_research_report
SZSE:300394,天孚通信,2026-05-31,太平洋,买入,业绩持续高增，CPO产业化重塑增长空间,eastmoney_research_report
SZSE:300394,天孚通信,2026-04-21,东吴证券,买入,2026年一季报点评：AI需求驱动业绩高增，拟H股上市打开全球化成长空间,eastmoney_research_report
