类型,扫描提交,发现日期,代码,公司,事件,快照状态,后续报告,说明
旧报告失效,1de3be99aa185e3f5a7ae7e4324c83f021d92e04,2026-09-05,CN:300558,贝达药业,恩沙替尼术后辅助适应症获批,stale,,research/companies/CN/300558/updates/2026-09-05.md
旧报告失效,1de3be99aa185e3f5a7ae7e4324c83f021d92e04,2026-09-05,CN:301308,江波龙,H股发行规模与最终价格落地,stale,,research/companies/CN/301308/updates/2026-09-05.md
旧报告失效,1de3be99aa185e3f5a7ae7e4324c83f021d92e04,2026-09-05,CN:600711,盛屯矿业,收购西藏海腾65%股权,stale,,research/companies/CN/600711/updates/2026-09-05.md
旧报告失效,1de3be99aa185e3f5a7ae7e4324c83f021d92e04,2026-09-05,CN:601009,南京银行,全部赎回并摘牌50亿元优先股,stale,,research/companies/CN/601009/updates/2026-09-05.md
旧报告失效,1de3be99aa185e3f5a7ae7e4324c83f021d92e04,2026-09-05,CN:688099,晶晨股份,H股发行取得中国证监会备案,stale,,research/companies/CN/688099/updates/2026-09-05.md
旧报告失效,f0b6ef83385be92e14524d8f21f9ebb59a603877,2026-08-29,CN:601872,招商轮船,取得安通控股控制权审阅,stale,,research/companies/CN/601872/updates/2026-08-29.md
旧报告失效,5ec68f8a52c88cd53a7e033aebc1dfa34f24f774,2026-08-28,CN:603259,药明康德,出售药明合联股份审阅,stale,,research/companies/CN/603259/updates/2026-08-28.md
旧报告失效,eeecaad317a005f36e537d967438a2b91062bea4,2026-08-27,CN:000600,建投能源,向特定对象发行股票落地审阅,stale,,research/companies/CN/000600/updates/2026-08-27.md
旧报告失效,8867879593ef6fad3b8b565859c0a54b15fc0702,2026-08-26,CN:688506,百利天恒,BL-B01D1乳腺癌III期主要终点核对,stale,,research/companies/CN/688506/updates/2026-08-26.md
旧报告失效,838bd7ad0b55dac1835da235fd47dd4020d00efc,2026-08-25,CN:002460,赣锋锂业,1.8亿美元LAR可转债投资使报告失效,stale,,research/companies/CN/002460/updates/2026-08-25.md
旧报告失效,838bd7ad0b55dac1835da235fd47dd4020d00efc,2026-08-25,CN:601988,中国银行,200亿元永续资本债使报告失效,stale,,research/companies/CN/601988/updates/2026-08-25.md
旧报告失效,214fa0968f478b4db9153d0285ae23becc1d3e54,2026-08-22,CN:300502,新易盛,2026年限制性股票激励计划核对,stale,,research/companies/CN/300502/updates/2026-08-22.md
旧报告失效,dc88eaced59df9e97bf250048ec9465ee67a16b2,2026-08-19,CN:000426,兴业银锡,拟取得威领股份控制权事项审阅,covered,research/companies/CN/000426/reports/2026-08-30.md,research/companies/CN/000426/updates/2026-08-19.md
旧报告失效,dc88eaced59df9e97bf250048ec9465ee67a16b2,2026-08-19,CN:300558,贝达药业,DURAVYU LUGANO III期完整数据审阅,stale,research/companies/CN/300558/reports/2026-08-30.md,research/companies/CN/300558/updates/2026-08-19.md
旧报告失效,da61bf36458ef8d2a1376e1bd98a83111a29c3fa,2026-08-18,CN:688506,百利天恒,BL-B01D1肺癌三期试验达到主要终点使当前研究失效,stale,research/companies/CN/688506/reports/2026-08-21.md,research/companies/CN/688506/updates/2026-08-18.md
首次研究候选,1de3be99aa185e3f5a7ae7e4324c83f021d92e04,2026-09-05,CN:002064,华峰化学,公司披露发行股份及支付现金购买资产草案，拟以约68.5亿元收购两家关联化工资产100%股权，业务边界、股本和关联交易均发生重大变化。,candidate,,event-2026-09-05-a-2
首次研究候选,1de3be99aa185e3f5a7ae7e4324c83f021d92e04,2026-09-05,CN:301613,新铝时代,公司公告收购宏联电子100%股权已完成过户，新增资产正式并入公司边界，值得完整研究交易后的盈利、现金流和资本回报。,candidate,,event-2026-09-05-a-2
首次研究候选,1de3be99aa185e3f5a7ae7e4324c83f021d92e04,2026-09-05,CN:600903,贵州燃气,公司披露以约11.64亿元收购贵州页岩气100%股权并发行约2.41亿股及配套募资的草案，资产边界和资本结构发生实质变化。,candidate,,event-2026-09-05-a-2
首次研究候选,65d325b7d89896ba78a62c89868202eed8ef1872,2026-08-29,CN:000635,英 力 特,控股股东拟公开征集转让股份，交易对手尚未确定且可能导致控股股东、实际控制人变更，治理与资本配置边界值得完整研究。,candidate,,event-scan-2026-08-29-063527-backfill
首次研究候选,65d325b7d89896ba78a62c89868202eed8ef1872,2026-08-29,CN:000803,山高环能,控股股东拟认购不超过6.5285亿元定增，发行上限为现股本30%且募集资金全部偿还银行借款，稀释、杠杆和控制权边界值得完整研究。,candidate,,event-scan-2026-08-29-063527-backfill
首次研究候选,65d325b7d89896ba78a62c89868202eed8ef1872,2026-08-29,CN:002676,顺威股份,"2.4229亿元简易定增已获注册，拟发行5,768.83万股用于风叶自动化和高性能复合材料产能，资本开支与稀释边界值得完整研究。",candidate,,event-scan-2026-08-29-063527-backfill
首次研究候选,65d325b7d89896ba78a62c89868202eed8ef1872,2026-08-29,CN:002828,贝肯能源,控股股东拟以4.0775亿元转让11.65%股份，连同后续大宗交易将导致控制权变更，治理与业务边界值得完整研究。,candidate,,event-scan-2026-08-29-063527-backfill
首次研究候选,65d325b7d89896ba78a62c89868202eed8ef1872,2026-08-29,CN:300772,运达股份,苍南6号海上风电核准容量由210MW增至300MW，项目总投资调整至30.7408亿元，资本开支与资产边界发生实质变化，值得完整研究。,candidate,,event-scan-2026-08-29-063527-backfill
首次研究候选,65d325b7d89896ba78a62c89868202eed8ef1872,2026-08-29,CN:301111,粤万年青,控股子公司签署预估总额12.4416亿元、毛利率约10%—20%的长期算力服务合同，规模远超当前收入且需大额设备采购和融资，业务与杠杆边界值得完整研究。,candidate,,event-scan-2026-08-29-063527-backfill
首次研究候选,65d325b7d89896ba78a62c89868202eed8ef1872,2026-08-29,CN:301112,信邦智能,发行股份及支付现金收购英迪芯微100%股权并配套募资的重大重组更新评估基准和草案，合并范围、稀释与关联交易边界值得完整研究。,candidate,,event-scan-2026-08-29-063527-backfill
首次研究候选,65d325b7d89896ba78a62c89868202eed8ef1872,2026-08-29,CN:301205,联特科技,拟向境外子公司增资不超过1.5亿美元并建设马来西亚高速光模块智造基地，全球产能、资本开支和交付边界发生实质变化，值得完整研究。,candidate,,event-scan-2026-08-29-063527-backfill
首次研究候选,65d325b7d89896ba78a62c89868202eed8ef1872,2026-08-29,CN:603327,福蓉科技,简易程序定增申请已获上交所审核通过，融资推进将改变股本、资本开支与每股口径，值得完整研究。,candidate,,event-scan-2026-08-29-063527-backfill
首次研究候选,65d325b7d89896ba78a62c89868202eed8ef1872,2026-08-29,CN:603685,晨丰科技,拟投资沈阳储能项目，总投资7.0亿元、公司预计投入5.95亿元，业务和资本开支边界发生实质变化，值得完整研究。,candidate,,event-scan-2026-08-29-063527-backfill
首次研究候选,65d325b7d89896ba78a62c89868202eed8ef1872,2026-08-29,CN:605016,百龙创园,向不特定对象发行可转债申请已获上交所上市审核委员会通过，潜在债务、转股稀释和募投项目边界值得完整研究。,candidate,,event-scan-2026-08-29-063527-backfill
首次研究候选,65d325b7d89896ba78a62c89868202eed8ef1872,2026-08-29,CN:688028,沃尔德,拟定增募资不超过14.5亿元，主要投向金刚石微钻、功能部件和研发中心，新增产能、资本开支与稀释边界值得完整研究。,candidate,,event-scan-2026-08-29-063527-backfill
首次研究候选,65d325b7d89896ba78a62c89868202eed8ef1872,2026-08-29,CN:688296,和达科技,拟以自有及自筹资金不超过1.5亿元建设产业基地，新增资产、资本开支及融资需求值得完整研究。,candidate,,event-scan-2026-08-29-063527-backfill
首次研究候选,f0b6ef83385be92e14524d8f21f9ebb59a603877,2026-08-29,CN:000558,天府文旅,"以1.7398亿元收购毕棚沟公司34.3%股权；标的2025年净利润4,635万元、经营现金流8,531万元，资产与利润边界发生实质变化，值得完整研究。",candidate,,event-scan-2026-08-29-003243
首次研究候选,f0b6ef83385be92e14524d8f21f9ebb59a603877,2026-08-29,CN:002723,小崧股份,拟由关联方认购定增不超过5.5亿元、发行上限为现股本30%，控制权关联、稀释和资本结构变化值得完整研究。,candidate,,event-scan-2026-08-29-003243
首次研究候选,f0b6ef83385be92e14524d8f21f9ebb59a603877,2026-08-29,CN:002779,中坚科技,机器人子公司增资投前估值45亿元，同时签署总投资12亿元的智能机器人产业化项目，业务与资本开支边界发生实质变化，值得完整研究。,candidate,,event-scan-2026-08-29-003243
首次研究候选,f0b6ef83385be92e14524d8f21f9ebb59a603877,2026-08-29,CN:002968,新大正,拟以9.1714亿元收购资产并配套募资不超过4.5857亿元，预计新增商誉约5.30亿元，业务、稀释和资产负债边界值得完整研究。,candidate,,event-scan-2026-08-29-003243
首次研究候选,f0b6ef83385be92e14524d8f21f9ebb59a603877,2026-08-29,CN:300176,鸿特科技,配股新增股份落地，募集总额4.8442亿元、发行价3.36元，股本与资本结构已发生实质变化，值得完整研究。,candidate,,event-scan-2026-08-29-003243
首次研究候选,f0b6ef83385be92e14524d8f21f9ebb59a603877,2026-08-29,CN:600162,香江控股,全资子公司与关联方签订五年算力技术服务合同，合同上限9.7亿元，业务结构、关联交易和履约边界值得完整研究。,candidate,,event-scan-2026-08-29-003243
首次研究候选,f0b6ef83385be92e14524d8f21f9ebb59a603877,2026-08-29,CN:600569,安阳钢铁,控股股东拟认购定增不超过15亿元、发行上限为现股本30%，申请已获交易所受理，稀释与资本结构变化值得完整研究。,candidate,,event-scan-2026-08-29-003243
首次研究候选,f0b6ef83385be92e14524d8f21f9ebb59a603877,2026-08-29,CN:603078,江化微,23.96%股份转让、董事会改组及控制权变更已完成，实际控制人变为上海市国资委，治理与资本配置边界值得完整研究。,candidate,,event-scan-2026-08-29-003243
首次研究候选,f0b6ef83385be92e14524d8f21f9ebb59a603877,2026-08-29,CN:603303,得邦照明,14.5375亿元现金重大收购已完成过户，取得嘉利股份67.48%股权，合并范围与资产负债边界发生实质变化，值得完整研究。,candidate,,event-scan-2026-08-29-003243
首次研究候选,f0b6ef83385be92e14524d8f21f9ebb59a603877,2026-08-29,CN:688268,华特气体,拟定增募资7亿元，其中6亿元用于半导体材料生产基地，产能扩张、资本开支和稀释边界值得完整研究。,candidate,,event-scan-2026-08-29-003243
